date,close
2019-01-02,100.0
2019-01-03,100.16
2019-01-04,100.31
2019-01-07,100.47
2019-01-08,100.63
2019-01-09,100.78
2019-01-10,100.94
2019-01-11,101.1
2019-01-14,101.25
2019-01-15,101.41
2019-01-16,101.57
2019-01-17,101.72
2019-01-18,101.88
2019-01-21,102.04
2019-01-22,102.19
2019-01-23,102.35
2019-01-24,102.51
2019-01-25,102.66
2019-01-28,102.82
2019-01-29,102.98
2019-01-30,103.13
2019-01-31,103.29
2019-02-01,103.45
2019-02-04,103.61
2019-02-05,103.76
2019-02-06,103.92
2019-02-07,104.08
2019-02-08,104.23
2019-02-11,104.39
2019-02-12,104.55
2019-02-13,104.7
2019-02-14,104.86
2019-02-15,105.02
2019-02-18,105.17
2019-02-19,105.33
2019-02-20,105.49
2019-02-21,105.64
2019-02-22,105.8
2019-02-25,105.96
2019-02-26,106.11
2019-02-27,106.27
2019-02-28,106.43
2019-03-01,106.58
2019-03-04,106.74
2019-03-05,106.9
2019-03-06,107.05
2019-03-07,107.21
2019-03-08,107.37
2019-03-11,107.52
2019-03-12,107.68
2019-03-13,107.84
2019-03-14,107.99
2019-03-15,108.15
2019-03-18,108.31
2019-03-19,108.46
2019-03-20,108.62
2019-03-21,108.78
2019-03-22,108.93
2019-03-25,109.09
2019-03-26,109.25
2019-03-27,109.4
2019-03-28,109.56
2019-03-29,109.72
2019-04-01,109.87
2019-04-02,110.03
2019-04-03,110.19
2019-04-04,110.34
2019-04-05,110.5
2019-04-08,110.66
2019-04-09,110.82
2019-04-10,110.97
2019-04-11,111.13
2019-04-12,111.29
2019-04-15,111.44
2019-04-16,111.6
2019-04-17,111.76
2019-04-18,111.91
2019-04-19,112.07
2019-04-22,112.23
2019-04-23,112.38
2019-04-24,112.54
2019-04-25,112.7
2019-04-26,112.85
2019-04-29,113.01
2019-04-30,113.17
2019-05-01,113.32
2019-05-02,113.48
2019-05-03,113.64
2019-05-06,113.79
2019-05-07,113.95
2019-05-08,114.11
2019-05-09,114.26
2019-05-10,114.42
2019-05-13,114.58
2019-05-14,114.73
2019-05-15,114.89
2019-05-16,115.05
2019-05-17,115.2
2019-05-20,115.36
2019-05-21,115.52
2019-05-22,115.67
2019-05-23,115.83
2019-05-24,115.99
2019-05-27,116.14
2019-05-28,116.3
2019-05-29,116.46
2019-05-30,116.61
2019-05-31,116.77
2019-06-03,116.93
2019-06-04,117.08
2019-06-05,117.24
2019-06-06,117.4
2019-06-07,117.55
2019-06-10,117.71
2019-06-11,117.87
2019-06-12,118.03
2019-06-13,118.18
2019-06-14,118.34
2019-06-17,118.5
2019-06-18,118.65
2019-06-19,118.81
2019-06-20,118.97
2019-06-21,119.12
2019-06-24,119.28
2019-06-25,119.44
2019-06-26,119.59
2019-06-27,119.75
2019-06-28,119.91
2019-07-01,120.06
2019-07-02,120.22
2019-07-03,120.38
2019-07-04,120.53
2019-07-05,120.69
2019-07-08,120.85
2019-07-09,121.0
2019-07-10,121.16
2019-07-11,121.32
2019-07-12,121.47
2019-07-15,121.63
2019-07-16,121.79
2019-07-17,121.94
2019-07-18,122.1
2019-07-19,122.26
2019-07-22,122.41
2019-07-23,122.57
2019-07-24,122.73
