date,open,high,low,close,volume,value
2019-01-02,100.0,102.0,98.0,100.0,5000.0,20000000000.0
2019-01-03,100.69,102.71,98.68,100.69,5000.0,20000000000.0
2019-01-04,101.39,103.42,99.36,101.39,5000.0,20000000000.0
2019-01-07,102.08,104.13,100.04,102.08,5000.0,20000000000.0
2019-01-08,102.78,104.84,100.72,102.78,5000.0,20000000000.0
2019-01-09,103.47,105.54,101.41,103.47,5000.0,20000000000.0
2019-01-10,104.17,106.25,102.09,104.17,5000.0,20000000000.0
2019-01-11,104.86,106.96,102.77,104.86,5000.0,20000000000.0
2019-01-14,105.56,107.67,103.45,105.56,5000.0,20000000000.0
2019-01-15,106.25,108.38,104.13,106.25,5000.0,20000000000.0
2019-01-16,106.95,109.09,104.81,106.95,5000.0,20000000000.0
2019-01-17,107.64,109.8,105.49,107.64,5000.0,20000000000.0
2019-01-18,108.34,110.51,106.17,108.34,5000.0,20000000000.0
2019-01-21,109.03,111.22,106.85,109.03,5000.0,20000000000.0
2019-01-22,109.73,111.92,107.54,109.73,5000.0,20000000000.0
2019-01-23,110.42,112.63,108.22,110.42,5000.0,20000000000.0
2019-01-24,111.12,113.34,108.9,111.12,5000.0,20000000000.0
2019-01-25,111.81,114.05,109.58,111.81,5000.0,20000000000.0
2019-01-28,112.51,114.76,110.26,112.51,5000.0,20000000000.0
2019-01-29,113.2,115.47,110.94,113.2,5000.0,20000000000.0
2019-01-30,113.9,116.18,111.62,113.9,5000.0,20000000000.0
2019-01-31,114.59,116.89,112.3,114.59,5000.0,20000000000.0
2019-02-01,115.29,117.6,112.98,115.29,5000.0,20000000000.0
2019-02-04,115.98,118.3,113.66,115.98,5000.0,20000000000.0
2019-02-05,116.68,119.01,114.35,116.68,5000.0,20000000000.0
2019-02-06,117.37,119.72,115.03,117.37,5000.0,20000000000.0
2019-02-07,118.07,120.43,115.71,118.07,5000.0,20000000000.0
2019-02-08,118.76,121.14,116.39,118.76,5000.0,20000000000.0
2019-02-11,119.46,121.85,117.07,119.46,5000.0,20000000000.0
2019-02-12,120.15,122.56,117.75,120.15,5000.0,20000000000.0
2019-02-13,120.85,123.27,118.43,120.85,5000.0,20000000000.0
2019-02-14,121.54,123.98,119.11,121.54,5000.0,20000000000.0
2019-02-15,122.24,124.68,119.79,122.24,5000.0,20000000000.0
2019-02-18,122.93,125.39,120.48,122.93,5000.0,20000000000.0
2019-02-19,123.63,126.1,121.16,123.63,5000.0,20000000000.0
2019-02-20,124.32,126.81,121.84,124.32,5000.0,20000000000.0
2019-02-21,125.02,127.52,122.52,125.02,5000.0,20000000000.0
2019-02-22,125.71,128.23,123.2,125.71,5000.0,20000000000.0
2019-02-25,126.41,128.94,123.88,126.41,5000.0,20000000000.0
2019-02-26,127.1,129.65,124.56,127.1,5000.0,20000000000.0
2019-02-27,127.8,130.36,125.24,127.8,5000.0,20000000000.0
2019-02-28,128.49,131.06,125.92,128.49,5000.0,20000000000.0
2019-03-01,129.19,131.77,126.61,129.19,5000.0,20000000000.0
2019-03-04,129.88,132.48,127.29,129.88,5000.0,20000000000.0
2019-03-05,130.58,133.19,127.97,130.58,5000.0,20000000000.0
2019-03-06,131.27,133.9,128.65,131.27,5000.0,20000000000.0
2019-03-07,131.97,134.61,129.33,131.97,5000.0,20000000000.0
2019-03-08,132.66,135.32,130.01,132.66,5000.0,20000000000.0
2019-03-11,133.36,136.03,130.69,133.36,5000.0,20000000000.0
2019-03-12,134.05,136.74,131.37,134.05,5000.0,20000000000.0
2019-03-13,134.75,137.44,132.05,134.75,5000.0,20000000000.0
2019-03-14,135.44,138.15,132.74,135.44,5000.0,20000000000.0
2019-03-15,136.14,138.86,133.42,136.14,5000.0,20000000000.0
2019-03-18,136.83,139.57,134.1,136.83,5000.0,20000000000.0
2019-03-19,137.53,140.28,134.78,137.53,5000.0,20000000000.0
2019-03-20,138.22,140.99,135.46,138.22,5000.0,20000000000.0
2019-03-21,138.92,141.7,136.14,138.92,5000.0,20000000000.0
2019-03-22,139.61,142.41,136.82,139.61,5000.0,20000000000.0
2019-03-25,140.31,143.12,137.5,140.31,5000.0,20000000000.0
2019-03-26,141.0,143.82,138.18,141.0,5000.0,20000000000.0
2019-03-27,141.7,144.53,138.86,141.7,5000.0,20000000000.0
2019-03-28,142.39,145.24,139.55,142.39,5000.0,20000000000.0
2019-03-29,143.09,145.95,140.23,143.09,5000.0,20000000000.0
2019-04-01,143.78,146.66,140.91,143.78,5000.0,20000000000.0
2019-04-02,144.48,147.37,141.59,144.48,5000.0,20000000000.0
2019-04-03,145.17,148.08,142.27,145.17,5000.0,20000000000.0
2019-04-04,145.87,148.79,142.95,145.87,5000.0,20000000000.0
2019-04-05,146.56,149.49,143.63,146.56,5000.0,20000000000.0
2019-04-08,147.26,150.2,144.31,147.26,5000.0,20000000000.0
2019-04-09,147.95,150.91,144.99,147.95,5000.0,20000000000.0
2019-04-10,148.65,151.62,145.68,148.65,5000.0,20000000000.0
2019-04-11,149.34,152.33,146.36,149.34,5000.0,20000000000.0
2019-04-12,150.04,153.04,147.04,150.04,5000.0,20000000000.0
2019-04-15,150.73,153.75,147.72,150.73,5000.0,20000000000.0
2019-04-16,151.43,154.46,148.4,151.43,5000.0,20000000000.0
2019-04-17,152.12,155.17,149.08,152.12,5000.0,20000000000.0
2019-04-18,152.82,155.87,149.76,152.82,5000.0,20000000000.0
2019-04-19,153.51,156.58,150.44,153.51,5000.0,20000000000.0
2019-04-22,154.21,157.29,151.12,154.21,5000.0,20000000000.0
2019-04-23,154.9,158.0,151.81,154.9,5000.0,20000000000.0
2019-04-24,155.6,158.71,152.49,155.6,5000.0,20000000000.0
2019-04-25,156.29,159.42,153.17,156.29,5000.0,20000000000.0
2019-04-26,156.99,160.13,153.85,156.99,5000.0,20000000000.0
2019-04-29,157.68,160.84,154.53,157.68,5000.0,20000000000.0
2019-04-30,158.38,161.55,155.21,158.38,5000.0,20000000000.0
2019-05-01,159.07,162.25,155.89,159.07,5000.0,20000000000.0
2019-05-02,159.77,162.96,156.57,159.77,5000.0,20000000000.0
2019-05-03,160.46,163.67,157.25,160.46,5000.0,20000000000.0
2019-05-06,161.16,164.38,157.94,161.16,5000.0,20000000000.0
2019-05-07,161.85,165.09,158.62,161.85,5000.0,20000000000.0
2019-05-08,162.55,165.8,159.3,162.55,5000.0,20000000000.0
2019-05-09,163.24,166.51,159.98,163.24,5000.0,20000000000.0
